expName	subject	pairs	cs1	cs2	block	trial	condition	rating	rt	shock	picName	timestamp
LookAtMe	11	1	1	2	1	1	41	1	1.5288171009160578	False	stim\7 F080C.jpg	2019-01-02 10:17:36
LookAtMe	11	1	1	2	1	2	46	5	0.716130509506911	False	stim\8 F080C + F101C.jpg	2019-01-02 10:17:45
LookAtMe	11	1	1	2	1	3	16	5	1.1998850405216217	False	stim\1 M024C.jpg	2019-01-02 10:17:55
LookAtMe	11	1	1	2	1	4	11	5	0.6328239175491035	False	stim\2 M024C + M010C.jpg	2019-01-02 10:18:03
LookAtMe	11	1	1	2	1	5	41		-1	False	stim\7 F080C.jpg	2019-01-02 10:18:12
LookAtMe	11	1	1	2	1	6	11	5	0.5904000685550272	False	stim\2 M024C + M010C.jpg	2019-01-02 10:18:20
LookAtMe	11	1	1	2	1	7	16	5	0.5933068078011274	False	stim\1 M024C.jpg	2019-01-02 10:18:29
LookAtMe	11	1	1	2	1	8	46		-1	False	stim\8 F080C + F101C.jpg	2019-01-02 10:18:39
LookAtMe	11	1	1	2	1	9	11	5	1.0823586112819612	False	stim\2 M024C + M010C.jpg	2019-01-02 10:18:47
LookAtMe	11	1	1	2	1	10	16	5	0.6147371735423803	False	stim\1 M024C.jpg	2019-01-02 10:18:55
LookAtMe	11	1	1	2	1	11	46	3	1.3165587382391095	False	stim\8 F080C + F101C.jpg	2019-01-02 10:19:04
LookAtMe	11	1	1	2	1	12	41	1	0.46560528920963407	False	stim\7 F080C.jpg	2019-01-02 10:19:12
LookAtMe	11	1	1	2	1	13	16	5	0.5521710701286793	False	stim\1 M024C.jpg	2019-01-02 10:19:21
LookAtMe	11	1	1	2	1	14	41	3	0.7406860552728176	False	stim\7 F080C.jpg	2019-01-02 10:19:29
LookAtMe	11	1	1	2	1	15	46	3	1.2777681625448167	False	stim\8 F080C + F101C.jpg	2019-01-02 10:19:38
LookAtMe	11	1	1	2	1	16	11	5	0.8681568135507405	False	stim\2 M024C + M010C.jpg	2019-01-02 10:19:47
LookAtMe	11	1	1	2	1	17	16	5	1.1052035856992006	True	stim\1 M024C.jpg	2019-01-02 10:19:56
LookAtMe	11	1	1	2	1	18	41	3	0.06336114462465048	False	stim\7 F080C.jpg	2019-01-02 10:20:04
LookAtMe	11	1	1	2	1	19	11	5	0.36474047880619764	False	stim\2 M024C + M010C.jpg	2019-01-02 10:20:14
LookAtMe	11	1	1	2	1	20	46	4	0.7047757776454091	True	stim\8 F080C + F101C.jpg	2019-01-02 10:20:24
LookAtMe	11	1	1	2	1	21	41	1	1.0698236366733909	False	stim\7 F080C.jpg	2019-01-02 10:20:34
LookAtMe	11	1	1	2	1	22	46	4	0.30298293847590685	True	stim\8 F080C + F101C.jpg	2019-01-02 10:20:43
LookAtMe	11	1	1	2	1	23	16	5	0.6363412104547024	True	stim\1 M024C.jpg	2019-01-02 10:20:52
LookAtMe	11	1	1	2	1	24	11	4	0.008244574535638094	False	stim\2 M024C + M010C.jpg	2019-01-02 10:21:00
LookAtMe	11	1	1	2	1	25	16	5	0.6640567909926176	False	stim\1 M024C.jpg	2019-01-02 10:21:09
LookAtMe	11	1	1	2	1	26	46	4	0.949338186532259	True	stim\8 F080C + F101C.jpg	2019-01-02 10:21:18
LookAtMe	11	1	1	2	1	27	41	1	0.9156661042943597	False	stim\7 F080C.jpg	2019-01-02 10:21:27
LookAtMe	11	1	1	2	1	28	11	5	0.015051704831421375	False	stim\2 M024C + M010C.jpg	2019-01-02 10:21:37
LookAtMe	11	1	1	2	1	29	41	1	1.2454016194678843	False	stim\7 F080C.jpg	2019-01-02 10:21:47
LookAtMe	11	1	1	2	1	30	11	4	0.5130139226093888	False	stim\2 M024C + M010C.jpg	2019-01-02 10:21:55
LookAtMe	11	1	1	2	1	31	16	1	0.3032885151915252	True	stim\1 M024C.jpg	2019-01-02 10:22:05
LookAtMe	11	1	1	2	1	32	46	3	1.6298372535966337	False	stim\8 F080C + F101C.jpg	2019-01-02 10:22:15
LookAtMe	11	1	1	2	1	33	11	3	1.0474855531938374	False	stim\2 M024C + M010C.jpg	2019-01-02 10:22:23
LookAtMe	11	1	1	2	1	34	46		-1	True	stim\8 F080C + F101C.jpg	2019-01-02 10:22:31
LookAtMe	11	1	1	2	1	35	16		-1	True	stim\1 M024C.jpg	2019-01-02 10:22:40
LookAtMe	11	1	1	2	1	36	41	3	1.6000670646317303	False	stim\7 F080C.jpg	2019-01-02 10:22:49
LookAtMe	11	1	1	2	1	37	46	5	0.3910742015577853	False	stim\8 F080C + F101C.jpg	2019-01-02 10:22:57
LookAtMe	11	1	1	2	1	38	41	3	0.5432528438977897	False	stim\7 F080C.jpg	2019-01-02 10:23:05
LookAtMe	11	1	1	2	1	39	16	5	0.6956673539243639	True	stim\1 M024C.jpg	2019-01-02 10:23:15
LookAtMe	11	1	1	2	1	40	11	5	0.544049387332052	False	stim\2 M024C + M010C.jpg	2019-01-02 10:23:25
LookAtMe	11	1	1	2	1	41	16	1	1.6509515256620944	False	stim\1 M024C.jpg	2019-01-02 10:23:35
LookAtMe	11	1	1	2	1	42	41	3	1.8316789497621357	False	stim\7 F080C.jpg	2019-01-02 10:23:44
LookAtMe	11	1	1	2	1	43	46	4	0.13349186116829515	True	stim\8 F080C + F101C.jpg	2019-01-02 10:23:53
LookAtMe	11	1	1	2	1	44	11	5	0.8959198682568967	False	stim\2 M024C + M010C.jpg	2019-01-02 10:24:01
LookAtMe	11	1	1	2	1	45	16	5	0.4791708732955158	True	stim\1 M024C.jpg	2019-01-02 10:24:11
